,ImageNumber,ObjectNumber,Metadata_Treatment,DAPI_Intensity_MaxIntensity_DAPI,DAPI_Correlation_K_A568UBF_A488FBL,A568_Intensity_MinIntensity_DAPI,DAPI_Correlation_Costes_A488FBL_A568UBF,A488_Intensity_StdIntensityEdge_A488FBL,DAPI_Intensity_LowerQuartileIntensity_A488FBL,DAPI_Texture_InfoMeas1_A488FBL_3_01_256,DAPI_Correlation_Manders_A568UBF_A488FBL,DAPI_Children_A568obj_Count,A568_Intensity_UpperQuartileIntensity_A488FBL
19,2,7,10uMmg132,0.5254902243614197,1.066859736655143,0.0431372560560703,0.9838181718163695,0.0263741781851851,0.0431372560560703,-0.1314944752268158,0.3987954210420477,30,0.1490196138620376
20,3,1,10uMmg132,0.6470588445663452,0.5049471896174955,0.0705882385373115,0.9906428696110172,0.027158119189195,0.039215687662363,-0.1516525890302764,0.8225155662988989,13,0.0872549042105674
21,3,2,10uMmg132,0.5960784554481506,0.5620952764541413,0.0823529437184333,0.9820508367950118,0.018042730596833,0.039215687662363,-0.0986377014737801,0.8154940463836062,8,0.125490203499794
22,3,3,10uMmg132,0.7764706015586853,0.9597475047920014,0.1176470592617988,0.986527529124986,0.0270416901209187,0.0352941192686557,-0.1801639573423603,0.2677670679506499,3,0.2549019753932953
23,3,4,10uMmg132,0.6823529601097107,0.4511817058185987,0.1372549086809158,0.9828953508069164,0.0235028095158819,0.0352941192686557,-0.0896280137993071,0.9956502827317872,9,0.0666666701436042
24,3,5,10uMmg132,0.5529412031173706,0.6090158296091273,0.1176470592617988,0.995522331401206,0.0195597383366274,0.0470588244497776,-0.0860903345042313,0.9563134291796372,41,0.0784313753247261
25,3,6,10uMmg132,0.7058823704719543,0.9722236051765978,0.0980392172932624,0.995816149695026,0.0190325939715336,0.0470588244497776,-0.1915007206110005,0.4219640538172916,15,0.3254902064800262
26,3,7,10uMmg132,0.4823529422283172,0.5623952424302463,0.0705882385373115,0.9853749559983308,0.0261839268852694,0.0352941192686557,-0.1586151184054492,0.5190909301367024,3,0.2000000029802322
27,3,8,10uMmg132,0.529411792755127,1.0540785373000088,0.0549019612371921,0.9939236284048424,0.0309406556543446,0.0431372560560703,-0.1279822055226065,0.4790470894256803,12,0.2137254923582077
28,3,9,10uMmg132,0.6392157077789307,0.5872055399186606,0.0588235296308994,0.970819043500072,0.0202374562667227,0.0313725508749485,-0.1183303326857806,0.3913717714740562,3,0.1607843190431594
